Name,Team,Season,Age,W,L,IP,WAR,ERA,xERA,FIP,xFIP,AVG,WHIP,BABIP,K%,BB%,LOB%,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrel%,K/9,BB/9,K/BB,HR/9,GB/FB,HR/FB,EV,LA,,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc)
Bryse Wilson,MIL,2024,26,5,4,104.2,-0.2,4.04,5.27,5.09,4.61,0.251,1.27,0.269,19%,7%,81%,19%,38%,43%,37%,38%,25%,16%,47%,38%,9%,7.1,2.7,2.6,1.7,0.9,0.1,89.7,16.7,,15%,,35%,,,32%,,14%,,,4%,,,,93.6,,88.8,,,93.1,,80.4,,,88.0,,,-3.76,,1.05,,,-9.23,,7.74,,,-8.69,,,8.90,,4.55,,,5.94,,-1.86,,,5.21,,,-7.63,,6.64,,,6.89,,-7.50,,,-0.63,,
Bryce Jarvis,ARI,2024,26,1,2,59.1,-0.6,3.19,5.27,5.12,5.51,0.236,1.43,0.261,15%,13%,80%,20%,43%,37%,41%,32%,27%,9%,54%,37%,7%,5.8,5,1.2,0.9,1.2,0.1,90.5,11.4,,34%,,13%,,,15%,0.23634558,1%,,,14%,,,,95.6,,89.6,,,95.1,86.4,83.2,,,85.1,,,-5.64,,-0.38,,,-9.60,3.02,4.98,,,-10.52,,,8.39,,2.81,,,5.21,-0.28,-5.45,,,3.09,,,5.07,,-2.15,,,2.08,1.57,0.41,,,-2.61,,
Cal Quantrill,COL,2024,29,8,11,148.1,0.5,4.98,5.34,5.32,4.87,0.271,1.52,0.3,17%,11%,75%,22%,44%,33%,42%,36%,22%,13%,50%,37%,7%,6.7,4.2,1.6,1.4,1.3,0.1,89.1,11.1,,,,13%,32%,,40%,,13%,,,2%,,,,,,87.8,86.5,,93.8,,79.6,,,84.9,,,,,1.17,-5.75,,-6.57,,1.33,,,-6.88,,,,,3.25,2.99,,8.23,,-2.14,,,4.99,,,,,-1.46,3.40,,-21.24,,-2.57,,,0.85,,
Martín Pérez,SDP,2024,33,5,6,135,0.5,4.53,5.38,4.9,4.48,0.282,1.48,0.317,18%,8%,77%,20%,44%,36%,46%,36%,18%,14%,55%,31%,9%,7.1,3.3,2.2,1.5,1.2,0.1,89,11.2,,5%,,22%,,,36%,0.00045372,14%,,,23%,,,,91.3,,87.9,,,90.7,82.8,77.9,,,83.4,,,6.56,,0.87,,,9.56,-1.16,-1.72,,,8.48,,,8.56,,7.08,,,5.87,3.16,-2.35,,,4.94,,,-9.55,,-2.99,,,4.52,-0.51,1.93,,,-6.35,,
Patrick Corbin,WSN,2024,34,6,13,174.2,1.7,5.62,5.48,4.41,4.14,0.294,1.5,0.337,18%,7%,66%,21%,46%,33%,38%,40%,22%,14%,53%,33%,8%,7.2,2.8,2.6,1.3,1.4,0.1,90.8,10,,8%,,19%,,,34%,0.3434903,2%,0%,,3%,,,,91.3,,85.7,,,91.5,80.0,70.0,63.2,,81.0,,,5.45,,-0.37,,,8.71,-0.76,-0.93,-0.91,,7.80,,,8.26,,2.90,,,6.62,0.54,-0.49,-0.30,,6.02,,,-3.21,,-2.05,,,-18.52,4.06,-1.08,0.09,,-5.37,,
Enyel De Los Santos,CHW,2024,28,1,2,64,-0.9,5.2,5.48,5.96,4.57,0.262,1.41,0.291,24%,9%,80%,17%,34%,48%,45%,25%,31%,18%,47%,35%,13%,9.3,3.5,2.6,2.4,0.7,0.2,89.3,17.5,,49%,,,,,,0.42907801,,,,8%,,,,95.5,,,,,,86.4,,,,87.6,,,-7.21,,,,,,0.29,,,,-9.60,,,7.53,,,,,,3.58,,,,5.45,,,-9.48,,,,,,0.34,,,,-1.87,,
Eduardo Rodriguez,ARI,2024,31,3,4,50,0.3,5.04,5.59,4.57,4.24,0.275,1.5,0.322,21%,8%,73%,25%,37%,38%,44%,36%,20%,14%,52%,34%,11%,8.5,3.4,2.5,1.4,1,0.1,88.7,14.5,,44%,,19%,,,8%,0.06581986,,,,23%,,,,92.0,,88.8,,,91.6,83.9,,,,86.7,,,3.82,,-0.38,,,7.57,-1.28,,,,9.48,,,8.34,,4.94,,,6.73,1.62,,,,3.93,,,-0.15,,-2.93,,,-2.54,-0.11,,,,-0.53,,
Tanner Rainey,WSN,2024,31,0,0,51,-0.2,4.76,5.59,5.42,5.9,0.237,1.49,0.267,19%,13%,76%,16%,28%,56%,38%,38%,25%,15%,53%,32%,14%,7.8,5.1,1.5,1.4,0.5,0.1,91.1,25.8,,71%,,,,,,0.27689031,,,,1%,,,,94.0,,,,,,86.6,,,,85.6,,,-6.67,,,,,,0.74,,,,-7.61,,,10.81,,,,,,2.38,,,,6.56,,,-2.64,,,,,,-0.72,,,,-0.90,,
Triston McKenzie,CLE,2024,26,3,5,75.2,-1,5.11,5.59,6.46,5.41,0.238,1.56,0.254,22%,14%,79%,13%,35%,52%,39%,36%,25%,15%,53%,32%,13%,8.8,5.8,1.5,2.3,0.7,0.2,90.7,20,,52%,,,,,,0.2101227,27%,,,,,,,91.1,,,,,,85.4,77.7,,,,,,-1.41,,,,,,2.33,3.94,,,,,,11.66,,,,,,5.23,-4.15,,,,,,-14.92,,,,,,4.05,-0.56,,,,,
Keaton Winn,SFG,2024,26,3,8,55.1,0,7.16,5.59,4.85,4.07,0.262,1.37,0.299,20%,8%,53%,20%,50%,30%,48%,34%,18%,8%,48%,44%,8%,7.8,3.3,2.4,1.5,1.7,0.2,93.1,8.7,,26%,,,40%,,19%,0.13931523,,,,,,,,95.7,,,88.9,,94.8,87.9,,,,,,,-6.23,,,-8.56,,-9.58,0.06,,,,,,,8.97,,,0.76,,4.66,1.01,,,,,,,-2.06,,,0.83,,-4.75,-1.64,,,,,,
Cole Irvin,MIN,2024,30,6,6,111,0.3,5.11,5.81,4.82,4.78,0.289,1.45,0.316,16%,6%,68%,21%,39%,41%,41%,34%,25%,12%,54%,34%,13%,6.3,2.4,2.7,1.5,1,0.1,89.9,15.3,,26%,,11%,,,20%,0.04074703,25%,,,13%,,,,91.9,,85.9,,,91.5,78.1,77.3,,,84.9,,,7.13,,-0.66,,,9.20,-2.06,-7.31,,,8.14,,,8.97,,2.98,,,6.17,-3.15,-2.76,,,4.78,,,-5.40,,-1.23,,,-1.73,-2.29,-1.71,,,-3.61,,
Randy Vásquez,SDP,2024,25,4,7,98,0.8,4.87,5.89,4.7,4.9,0.301,1.51,0.33,14%,7%,72%,24%,39%,38%,38%,41%,21%,18%,49%,33%,9%,5.7,2.7,2.1,1.2,1,0.1,88.7,15,,28%,,14%,,,16%,0.10017783,20%,,,12%,,,,94.3,,90.2,,,94.2,82.4,82.2,,,88.6,,,-4.85,,0.94,,,-9.28,6.84,6.58,,,-10.65,,,9.30,,5.29,,,6.91,1.51,-2.12,,,4.14,,,-2.67,,5.12,,,-5.05,-0.28,-1.49,,,-7.33,,
Logan Allen,CLE,2024,25,8,5,97.1,-0.7,5.73,5.89,5.87,4.75,0.292,1.58,0.318,18%,9%,75%,18%,43%,38%,40%,37%,23%,14%,54%,33%,11%,7.3,3.8,1.9,2,1.1,0.2,91,13.4,,48%,,15%,,,,0.18738739,,,,18%,,,,91.2,,85.3,,,,78.6,,,,81.7,,,5.40,,-2.19,,,,-7.90,,,,1.45,,,8.84,,3.30,,,,0.35,,,,1.53,,,-12.38,,-0.07,,,,-7.95,,,,-2.80,,
Dakota Hudson,COL,2024,29,2,12,89,0,6.17,5.93,5.53,5.41,0.284,1.67,0.304,12%,12%,63%,18%,52%,30%,42%,36%,21%,15%,49%,37%,6%,5,5.1,1,1.1,1.8,0.1,89.9,7.6,,15%,,0%,,,33%,0.24404762,17%,,,10%,,,,89.9,,86.9,,,90.4,84.1,80.3,,,83.5,,,-3.64,,-0.63,,,-8.02,-0.58,6.21,,,-7.55,,,4.68,,1.11,,,3.13,0.98,-2.78,,,1.80,,,-5.09,,-1.31,,,-0.36,-1.16,1.26,,,-7.46,,
Emerson Hancock,SEA,2024,25,4,4,60.2,-0.4,4.75,5.93,5.69,5.24,0.257,1.34,0.263,15%,7%,71%,23%,35%,42%,41%,32%,27%,20%,49%,32%,10%,5.8,2.8,2.1,1.8,0.8,0.1,88.5,16.5,,33%,,,,,30%,0.16469428,,,,21%,,,,93.4,,,,,93.2,84.1,,,,86.5,,,-7.88,,,,,-10.63,1.75,,,,-10.40,,,7.93,,,,,5.11,1.78,,,,2.07,,,1.97,,,,,-3.53,-5.19,,,,0.07,,
Anthony Molina,COL,2024,22,1,1,59.2,0.2,6.79,5.96,4.09,4.47,0.3,1.58,0.345,16%,8%,56%,29%,42%,29%,32%,40%,28%,13%,48%,39%,8%,6.2,3.3,1.9,0.8,1.4,0.1,90.3,11.4,,48%,,,,,,0.22632104,7%,0%,,23%,,,,94.8,,,,,,88.7,82.8,76.8,,85.3,,,-4.58,,,,,,1.09,1.63,-3.69,,-7.92,,,9.03,,,,,,4.57,-1.00,-6.42,,4.88,,,-6.29,,,,,,-0.27,1.07,0.04,,-0.34,,
Justin Lawrence,COL,2024,29,4,4,59.2,-0.8,6.49,6.16,5.63,4.94,0.305,1.78,0.346,16%,12%,61%,21%,53%,26%,41%,36%,23%,12%,57%,31%,8%,6.8,5,1.4,1.4,2,0.2,89.9,5.8,,,,,,,59%,0.410831,,,,0%,,,,,,,,,94.6,83.0,,,,89.0,,,,,,,,-8.91,7.14,,,,-5.81,,,,,,,,-0.30,1.76,,,,2.24,,,,,,,,-15.10,1.09,,,,-0.04,,
Roddery Muñoz,MIA,2024,24,2,7,82.2,-1.6,6.53,6.94,7.27,5.36,0.268,1.58,0.267,18%,11%,70%,21%,34%,45%,40%,37%,23%,13%,47%,40%,14%,7.6,4.6,1.7,2.8,0.7,0.2,90.8,15.9,,27%,,21%,,,23%,0.1979798,,,,9%,,,,95.4,,89.8,,,94.9,85.7,,,,89.3,,,-6.42,,-1.33,,,-10.19,3.22,,,,-7.43,,,8.67,,4.54,,,4.76,-1.17,,,,5.88,,,-13.09,,-0.25,,,-3.36,-7.54,,,,-3.89,,
Bobby Miller,LAD,2024,25,2,4,56,-0.9,8.52,6.99,6.97,4.7,0.305,1.77,0.331,20%,12%,62%,20%,44%,36%,39%,38%,23%,13%,48%,39%,11%,8.4,4.8,1.7,2.7,1.2,0.3,91.5,10.4,,38%,,,,,14%,0.09591643,19%,,,20%,,,,97.6,,,,,97.3,88.6,79.8,,,86.4,,,-4.84,,,,,-8.17,3.00,4.31,,,-10.03,,,9.67,,,,,8.53,1.66,-6.93,,,5.45,,,-5.76,,,,,-6.49,-3.20,-2.00,,,0.60,,
Taijuan Walker,PHI,2024,31,3,7,83.2,-1.1,7.1,7.12,6.94,5.29,0.314,1.72,0.32,15%,10%,70%,22%,38%,41%,44%,37%,18%,13%,48%,39%,13%,6.2,4,1.6,2.6,0.9,0.2,91.5,15.4,,13%,,9%,22%,,27%,0.17839721,11%,,,,,,,91.5,,87.3,86.7,,91.1,85.1,74.7,,,,,,-5.83,,-0.51,-6.61,,-9.06,2.43,3.51,,,,,,9.96,,8.67,2.03,,7.34,5.15,-5.84,,,,,,-4.79,,-6.74,-13.06,,-11.65,5.20,3.08,,,,,
Ty Blach,COL,2024,33,3,8,71.1,-0.6,6.94,7.3,6.26,5.12,0.337,1.7,0.34,11%,5%,70%,24%,41%,35%,37%,38%,25%,10%,54%,36%,12%,4.5,2.3,2,2.1,1.2,0.2,90.7,13.2,,35%,,14%,,,16%,0.00088261,11%,,,25%,,,,89.1,,82.9,,,89.3,85.0,79.2,,,80.0,,,8.10,,1.71,,,10.95,6.25,-0.62,,,8.65,,,3.51,,1.45,,,4.76,6.89,-2.13,,,-0.58,,,-6.42,,-0.77,,,-9.39,-0.04,-1.32,,,-5.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
